,moltype,stereo_type,nm_b3lyp,nm_wf,nm_wfr,nm_wf_refine
644,ketone,cis,223.4,227,234,232
645,ketone,cis,237.1,245,245,242
646,ketone,cis,218.9,245,226,223
647,ketone,no_stereo,199.9,215,212,214
648,cyclopentenone,no_stereo,225.5,224,226,221
649,cyclopentenone,no_stereo,234.3,242,237,236
650,cyclopentenone,no_stereo,217.5,242,223,217
651,cyclopentenone,no_stereo,226.1,242,226,225
652,cyclopentenone,no_stereo,235.1,229,240,237
653,cyclopentenone,no_stereo,244.5,239,250,248
654,cyclopentenone,no_stereo,242.0,249,250,248
655,cyclopentenone,no_stereo,262.4,249,241,238
656,cyclopentenone,no_stereo,246.0,249,253,248
657,cyclopentenone,no_stereo,260.8,267,264,263
658,cyclopentenone,no_stereo,247.0,267,253,252
659,cyclopentenone,no_stereo,233.0,247,240,233
